"binom","body.size","rel.wing","resid.wing","range.size","bio1_mean","range.elev","max.mean.elev","min.mean.elev","max.elev","min.elev","max.min.elev","min.max.elev","max.mean.elev.finer","min.mean.elev.finer","range.elev.finer","bio6_mean"
"Cordulegaster_obliqua",70,0.898603413314721,0.385364277177435,1.23e+12,103.500897,786.686230213,791.9666138,5.280383587,1929,-78,345,20,742.0516975,5.932098765,736.119598735,-83.817984
"Cordulegaster_sayi",64.5,0.882312466791552,-0.273453293554561,53202575773,197.0593933,27.89430237,47.94141388,20.04711151,115,-4,2,71,47.18209877,22.28317901,24.89891976,47.44139214
"Cordulegaster_talaria",63,0.890359521889545,-0.017461144025535,10187822482,155.9152069,0,230.265625,230.265625,624,51,51,624,277.9753086,277.9753086,0,-27.46800041
"Cordulia_shurtleffi",46.5,0.890159951304332,-0.360326350105539,2.67e+12,28.37085384,3002.39163413,3015.890381,13.49874687,5149,-108,2162,73,3231.479167,1.553191489,3229.925975511,-166.7301365
"Coryphaeschna_adnexa",67.5,0.895690087829927,0.244267968237741,2.55e+11,216.286635,1595.419948398,1602.488159,7.068210602,2838,-15,1181,19,1434.243827,5.115740741,1429.128086259,83.06058121
"Coryphaeschna_ingens",88,0.901035773120086,0.722452201468754,4.18e+11,202.6622987,413.707061012,416.1955566,2.488495588,734,-21,176,8,300.220679,2.324414716,297.896264284,58.3693883
"Crocothemis_servilia",40,0.939509123545538,1.14914746233983,1.78e+11,222.653595,26.492844107,28.52541733,2.032573223,91,-15,1,7,43.10648148,1.421875,41.68460648,110.7691641
"Didymops_floridensis",66.5,0.8728580830309,-0.574322338294115,64472102542,205.5202637,78.08733368,98.13444519,20.04711151,180,-4,30,71,87.16589506,23.66898148,63.49691358,62.31579399
"Didymops_transversa",58,0.882543833061672,-0.382800876367505,2.26e+12,98.63776296,786.743586571,791.9666138,5.223027229,1931,-171,447,20,933.6149691,6.481608212,927.133360888,-92.55358889
"Dorocordulia_lepida",40,0.898426214761899,-0.23975039118006,1.81e+11,77.2969038,373.62767604,394.3473511,20.71967506,1469,-18,68,63,419.9930556,11.59633028,408.39672532,-100.2955069
"Dorocordulia_libera",40,0.90810885227998,0.0932298313316732,1.4e+12,50.25032092,525.0638924,555.312439,30.2485466,1834,-16,447,117,863.0208333,19.75047801,843.27035529,-159.7267417
"Dromogomphus_armatus",69,0.862202742734499,-0.915029186939056,1.15e+11,183.2510972,157.67264934,170.312149,12.63949966,401,-42,63,48,186.5740741,12.50231481,174.07175929,26.25051598
"Dromogomphus_spinosus",60.5,0.873465865689247,-0.657291466978531,2.62e+12,104.6139904,797.44034289,808.1276245,10.68728161,1931,-78,396,25,1041.727623,9.95631068,1031.77131232,-84.7889203
"Dromogomphus_spoliatus",60.5,0.859533771486992,-1.15674408019017,1.23e+12,151.1487463,1961.59845573,1983.266846,21.66839027,3536,-72,1498,79,1586.152778,4.693311582,1581.459466418,-34.0404307
"Dythemis_fugax",47,0.937864800570352,1.27311240383647,9.02e+11,169.3860384,1951.85455873,1973.522949,21.66839027,3536,-7,1278,79,1575.218364,22.94367284,1552.27469116,-14.53278678
"Dythemis_maya",42,0.973223032322758,2.29824723145105,2.1e+11,195.1560926,1975.77995252,2059.415771,83.63581848,3536,-2,852,713,2106.787809,116.433584,1990.354225,51.80839593
"Dythemis_velox",44.5,0.925189155813904,0.789968502166222,1.14e+12,167.2648967,1999.585243276,2002.698242,3.112998724,3536,-21,1144,27,1552.867284,2.907407407,1549.959876593,-8.990569879
"Epiaeschna_heros",86.5,0.900505151403012,0.685137577027166,2.03e+12,131.8085855,812.7811279,812.7811279,0,1931,-78,612,0,1059.467593,1.289867841,1058.177725159,-45.2040363
"Epitheca_canis",45.5,0.895228972695505,-0.207988750858231,1.51e+12,56.41710672,1664.64895832,1690.14563,25.49667168,3064,-41,992,87,1765.631173,6.344135802,1759.287037198,-135.9512686
"Epitheca_costalis",43,0.890647661446454,-0.429866575482839,4.51e+11,149.0092068,831.196888931,840.3859253,9.189036369,1438,-16,691,18,815.8595679,9.277310924,806.582256976,-29.12983675
